195.46.35.52 - - [21/Dec/2008:06:27:30 +0300] "GET / HTTP/1.0" 200 22046 "http://www.rzonline.ru/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1.7366)"
90.157.104.29 - - [21/Dec/2008:06:27:31 +0300] "GET /?REFER_ID=1176431 HTTP/1.0" 200 22063 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
90.157.104.29 - - [21/Dec/2008:06:27:31 +0300] "GET / HTTP/1.0" 200 22046 "http://www.rzonline.ru/?REFER_ID=1176431" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
90.157.104.29 - - [21/Dec/2008:06:27:31 +0300] "GET / HTTP/1.0" 200 22046 "http://www.rzonline.ru/?REFER_ID=1176431" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
74.6.17.167 - - [21/Dec/2008:06:27:31 +0300] "GET /forum/index.php?board=20.0 HTTP/1.0" 200 9099 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1321634 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630974" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:49 +0300] "POST /?REFER_ID=1321634 HTTP/1.0" 200 21247 "http://passport.nikitaonline.ru/bitrix/tools/passport.php" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "GET /?REFER_ID=1311397 HTTP/1.0" 200 22072 "http://www.fishki.net/index.php?page=7" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "POST /?REFER_ID=1311397 HTTP/1.0" 200 21589 "http://passport.nikitaonline.ru/bitrix/tools/passport.php" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
88.147.181.28 - - [21/Dec/2008:06:35:15 +0300] "GET /client/server/index.html HTTP/1.0" 304 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; WebMoney Advisor)"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1321634 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630974" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:49 +0300] "POST /?REFER_ID=1321634 HTTP/1.0" 200 21247 "http://passport.nikitaonline.ru/bitrix/tools/passport.php" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "GET /?REFER_ID=1311397 HTTP/1.0" 200 22072 "http://www.fishki.net/index.php?page=7" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "GET /?REFER_ID=1311397 HTTP/1.0" 200 22072 "http://www.fishki.net/index.php?page=7" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "GET /?REFER_ID=1311390 HTTP/1.0" 200 22072 "http://www.fishki.net/index.php?page=7" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
78.106.93.121 - - [21/Dec/2008:06:35:11 +0300] "GET /?REFER_ID=1311397 HTTP/1.0" 200 22072 "http://www.fishki.net/index.php?page=8" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MRA 5.0 (build 02094); .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322)"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1321634 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1321612 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1321601 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=13216 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=12216 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=11216 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=16216 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=13216 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1324 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=134567 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=134067 HTTP/1.0" 200 22063 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=134067 HTTP/1.0" 200 229863 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=1340999 HTTP/1.0" 200 22989 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=13434999 HTTP/1.0" 200 22989 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630973" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"
87.225.60.135 - - [21/Dec/2008:06:28:09 +0300] "GET /?REFER_ID=13434999 HTTP/1.0" 200 22989 "http://ad.adriver.ru/cgi-bin/erle.cgi?sid=103715&bt=30&bn=1&pz=1&sz=m_18_24&rnd=98630972" "Opera/9.61 (Windows NT 5.1; U; ru) Presto/2.1.1"

